지표연도,학교명,설립구분,지역,학부 정원내 재학생수,학부 정원내외 재학생수,학부 및 대학원 재학생수,학부 및 대학원 재학생수,학부 및 대학원 재학생수,전임교원수(명),교원법정정원(명),전임교원 확보율,시설면적(㎡),기준면적(㎡),교사 확보율,정원내 입학자수(명),정원내 모집인원(명),정원내 신입생 충원율,정원내 재학생수(명),학생정원-학생모집정지인원(명),정원내 재학생 충원율,총교육비(천원),등록금(천원),교육비 환원율,장학금(천원),등록금(천원),장학금 비율,등록금(천원),운영수입(세입총액)(천원),[1.2.1] 세입 중 등록금 비율,기부금(천원),운영수입(세입총액)(천원),[1.2.1] 세입 중 기부금 비율,법인전입금(천원),운영수입(천원),[1.2.1] 세입 중 법인전입금 비율(사립대),강사료 계(원),강의시간수 계(시간),[3.1.2] 시간강사 강의료,교내연구비(천원),전임교원수(명),[3.1.3] 전임교원 1인당 교내연구비,학부 및 대학원 재학생수,직원수(명),[3.2.1] 직원 1인당 학생수,수용인원(명),재학생수(명),[4.1.2] 기숙사 수용률,자료구입비(원),학생수(명),[4.1.3] 재학생 1인당 연간 자료구입비(결산),도서관직원수(명),학부 및 대학원 재학생수,"[4.1.3] 재학생 1,000명당 도서관 직원수",등재(후보)지 논문 건수(건),전임교원수(명),[5.1.1] 전임교원 1인당 등재(후보)지 논문 실적,SCI급 논문 건수(건),전임교원수(명),[5.1.1] 전임교원 1인당 SCI급 논문 실적,저역서수(건),전임교원수(명),[5.1.1] 전임교원 1인당 저역서 실적,교외연구비(천원),전임교원수(명),[5.1.1] 전임교원 1인당 교외연구비,[5.1.1] 연구성과 기준값 대비 실적,취업자(명),졸업자(명),[5.1.2] 졸업생의 취업률
2020,경희대학교,사립,서울,20749,25875,33373,33373,33373,1005,1263,79.57244,558759,382538,146.06627,4710,4732,99.53508,20749,19686,105.39977,532347531.4,292343814.8,182.09638,38534904.24,197972015,19.46482,292343814.8,453373208.7,64.48193,7042814.114,453373208.7,1.55342,11916060.54,453373208.7,2.62831,2271164610,44914.6,50566.28823,9536010,1407,6777.54797,33373,1070,31.18971,5943,28793,20.64043,5460519881,34016,160527.98333,38,33373,1.13864,638.8084,1407,0.45402,903.054,1407,0.64182,98.4654,1407,0.06998,134621872,1407,95680.0796,24.70155,3170,4702,67.41811
2020,계명대학교,사립,대구,18856,20692,22930,22930,22930,717,1047,68.48137,381256,296364,128.6445,4606,4607,99.97829,18856,18722,100.71573,283528979.8,167558798.8,169.21163,30229128.28,146941837.5,20.57217,167558798.8,292073291.1,57.36875,4074371.259,292073291.1,1.39498,7307679.669,292073291.1,2.502,2409792000,34184,70494.73437,3156500,902,3499.44567,22930,505,45.40594,3099,22160,13.98465,2886437827,23394,123383.68073,23.1,22930,1.00741,512.0305,902,0.56766,217.7949,902,0.24145,111.0177,902,0.12307,27086875,902,30029.7949,11.2123,2418,4375,55.26857
2020,고려대학교,사립,서울,16788,20822,29580,29580,29580,1111,1457,76.25257,665184,353642,188.0953,3797,3803,99.84222,16788,15448,108.67426,890575299.4,352841958,252.40062,50287198.61,270028939.7,18.62289,352841958,633508537.7,55.69648,55476504.33,633508537.7,8.75702,14920587.71,633508537.7,2.35523,1620459150,27849,58187.33706,26361137,1477,17847.75693,29580,1120,26.41071,2851,26307,10.83741,7374375959,29757,247819.87293,40.1,29580,1.35564,528.0986,1477,0.35754,1217.8471,1477,0.82454,84.3078,1477,0.05708,333908633,1477,226072.19566,40.93504,2321,3167,73.28702
2020,고려대학교(세종),사립,충남,5695,6387,7096,7096,7096,260,336,77.38095,150467,95734,157.17195,1318,1322,99.69742,5695,5464,104.22767,,,,,,,,,,,,,,,,568519500,10590,53684.5609,1519624,260,5844.70769,7096,212,33.47169,2596,6897,37.63955,594865029,7135,83372.81415,7.3,7096,1.02874,125.7245,260,0.48355,96.5319,260,0.37127,12.44,260,0.04784,21837985,260,83992.25,17.88986,839,1322,63.46444
2020,고신대학교,사립,부산,3709,3920,4788,4788,4788,167,218,76.6055,96630,66304,145.73781,886,886,100,3709,3696,100.35173,58185525.19,29303812.25,198.55957,4553195.436,23256190.12,19.57842,29303812.25,61692451,47.49983,4422824.078,61692451,7.16914,3156835.188,61692451,5.11705,212976000,3672,58000.0,82653,305,270.99344,4788,158,30.30379,1659,4542,36.52575,620552129,4802,129227.8486,5.4,4788,1.12781,104.5374,305,0.34274,49.2671,305,0.16153,13.3178,305,0.04366,6101841,305,20006.03606,6.83429,462,634,72.87066
2020,공주대학교,국립,충남,11104,12945,15426,15426,15426,557,727,76.61623,324636,205361,158.08064,2731,2737,99.78078,11104,10953,101.37861,161818974.7,48913753.53,330.8251,9206743.93,43993176.22,20.92766,48913753.53,190785905.7,25.63803,975331.715,190785905.7,0.51121,,,,2566848000,27660,92800.0,1328600,559,2376.74418,15426,529,29.16068,3943,13252,29.75399,1563949820,15712,99538.55779,21.4,15426,1.38726,413.6255,559,0.73993,214.794,559,0.38424,65.8215,559,0.11774,33293161,559,59558.42754,17.43701,1676,2879,58.21465
2020,광신대학교,사립,광주,483,514,986,986,986,50,56,89.28571,20974,13604,154.17524,123,123,100,483,503,96.02385,6807568.209,5480146.31,124.22238,499346.25,2859162.81,17.46477,5480146.31,8996433.564,60.91465,478177.525,8996433.564,5.31518,878570.57,8996433.564,9.76576,40710000,885,46000.0,16600,50,332,986,26,37.92307,226,967,23.37125,32596137,972,33535.12037,2.5,986,2.53549,14.8,50,0.296,0,50,0,4.5954,50,0.0919,1200,50,24,2.17068,36,59,61.01694
2020,광운대학교,사립,서울,6704,8182,9610,9610,9610,327,470,69.57446,151555,125792,120.48063,1685,1687,99.88144,6704,6770,99.02511,127872870.3,76983119.92,166.10507,11464069.64,61009451.7,18.79064,76983119.92,111107170.8,69.28726,1327189.72,111107170.8,1.19451,321200,111107170.8,0.28909,717218265,14430,49703.27546,3004809,327,9189.01834,9610,221,43.48416,1067,8632,12.36098,1291597886,9561,135090.2506,11.6,9610,1.20707,175.6419,327,0.53713,167.767,327,0.51304,18.3583,327,0.05614,28207377,327,86261.09174,21.22377,1026,1694,60.5667
2020,광주가톨릭대학교,사립,전남,89,89,121,121,121,18,10,180.0,22593,4800,470.6875,24,40,60.0,89,160,55.625,2996051.226,0,0,13000,0,0,0,1801080.867,0.0,214384,1801080.867,11.90307,1090563.14,1801080.867,60.55048,9405000,165,57000,0,18,0,121,30,4.03333,223,121,184.29752,80966268,107,756694.09345,2,121,16.52892,1,18,0.05555,0,18,0,6,18,0.33333,0,18,0,4.92063,0,0,0
2020,광주대학교,사립,광주,6549,6963,7391,7391,7391,256,344,74.4186,144088,107922,133.51123,1624,1647,98.60352,6549,6592,99.34769,67937373.42,45570050.46,149.08338,8566198.75,42265070.36,20.26779,45570050.46,73537033.09,61.96884,573525.069,73537033.09,0.77991,728954,73537033.09,0.99127,13750000,250,55000.0,384699,256,1502.73046,7391,129,57.29457,1990,7267,27.38406,562956700,7301,77106.79358,9.1,7391,1.23122,184.9357,256,0.7224,42.9786,256,0.16788,19.6581,256,0.07678,2020040,256,7890.78125,7.30778,934,1447,64.54733
